Fecha,Clics,Impresiones,CTR,Posición
2026-07-05,0,3,0%,1
2026-07-06,0,0,,
2026-07-07,0,3,0%,3.3
2026-07-08,0,4,0%,8.5
2026-07-09,0,0,,
2026-07-10,0,0,,
2026-07-11,0,6,0%,2.7
2026-07-12,0,0,,
2026-07-13,0,2,0%,15
2026-07-14,0,0,,
2026-07-15,0,0,,
2026-07-16,0,2,0%,1
2026-07-17,0,2,0%,1.5
2026-07-18,0,0,,
2026-07-19,0,1,0%,1
2026-07-20,0,0,,
2026-07-21,0,0,,
2026-07-22,0,0,,
2026-07-23,0,0,,
2026-07-24,2,2,100%,6.5
2026-07-25,4,5,80%,8.8
2026-07-26,0,0,,
2026-07-27,1,2,50%,3.5
2026-07-28,2,3,66.67%,2.7
2026-07-29,0,0,,
2026-07-30,0,0,,
2026-07-31,0,1,0%,1
2026-08-01,0,0,,
